2025-06-30 13:51:39.928372 | 10.0.2.15 → 10.0.2.3 | UDP | DNS
2025-06-30 13:51:39.928397 | 10.0.2.15 → 10.0.2.3 | UDP | DNS
2025-06-30 13:51:40.020709 | 10.0.2.3 → 10.0.2.15 | UDP | DNS
2025-06-30 13:51:40.020709 | 10.0.2.3 → 10.0.2.15 | UDP | DNS
2025-06-30 13:51:40.021047 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 13:51:40.037575 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 13:51:40.037783 | 10.0.2.15 → 10.0.2.3 | UDP | DNS
2025-06-30 13:51:40.124820 | 10.0.2.3 → 10.0.2.15 | UDP | DNS
2025-06-30 13:51:41.022142 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 13:51:41.039059 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 13:51:42.022761 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 13:51:42.037818 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 13:51:43.024188 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 13:51:43.041929 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 13:51:44.025839 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 13:51:44.043264 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 13:51:45.026463 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 13:51:45.043926 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 13:51:46.027364 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 13:51:46.046916 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 13:51:47.028825 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 13:51:47.045953 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 13:51:48.030120 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 13:51:48.046099 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 13:51:49.030451 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 13:51:49.046015 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 13:51:50.032597 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 13:51:50.049600 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 13:51:51.033987 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 13:51:51.051055 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 13:51:52.034685 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 13:51:52.052249 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 13:51:53.036473 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 13:51:53.054417 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 13:51:54.037843 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 13:51:54.053555 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 13:51:55.039838 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 13:51:55.057409 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 13:51:56.042156 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 13:51:56.062425 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 13:51:57.043847 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 13:51:57.061571 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 13:51:58.046177 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 13:51:58.062458 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 13:51:59.048102 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 13:51:59.067907 | 76.223.113.161 → 10.0.2.15 | None | ICMP
