2025-06-30 14:02:01.385392 | 10.0.2.15 → 10.0.2.3 | UDP | DNS
2025-06-30 14:02:01.385483 | 10.0.2.15 → 10.0.2.3 | UDP | DNS
2025-06-30 14:02:01.410951 | 10.0.2.3 → 10.0.2.15 | UDP | DNS
2025-06-30 14:02:01.410951 | 10.0.2.3 → 10.0.2.15 | UDP | DNS
2025-06-30 14:02:01.411241 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 14:02:01.427171 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 14:02:01.427397 | 10.0.2.15 → 10.0.2.3 | UDP | DNS
2025-06-30 14:02:01.448886 | 10.0.2.3 → 10.0.2.15 | UDP | DNS
2025-06-30 14:02:02.412810 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 14:02:02.429015 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 14:02:03.414320 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 14:02:03.431495 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 14:02:04.416385 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 14:02:04.432913 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 14:02:05.418169 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 14:02:05.437877 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 14:02:06.420307 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 14:02:06.435263 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 14:02:07.421217 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 14:02:07.437732 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 14:02:08.423680 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 14:02:08.440845 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 14:02:09.425390 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 14:02:09.442459 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 14:02:10.426626 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 14:02:10.442444 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 14:02:11.428845 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 14:02:11.444794 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 14:02:12.429802 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 14:02:12.448689 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 14:02:13.430472 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 14:02:13.447883 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 14:02:14.431983 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 14:02:14.449073 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 14:02:15.434685 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 14:02:15.451807 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 14:02:16.435192 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 14:02:16.452081 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 14:02:17.436138 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 14:02:17.452845 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 14:02:18.437359 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 14:02:18.455097 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 14:02:19.438879 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 14:02:19.456181 | 76.223.113.161 → 10.0.2.15 | None | ICMP
2025-06-30 14:02:20.440360 | 10.0.2.15 → 76.223.113.161 | None | ICMP
2025-06-30 14:02:20.458222 | 76.223.113.161 → 10.0.2.15 | None | ICMP
