2025-06-25 14:55:58.375102 | 10.0.2.15 → 10.0.2.3 | UDP | DNS
2025-06-25 14:55:58.375119 | 10.0.2.15 → 10.0.2.3 | UDP | DNS
2025-06-25 14:55:58.395519 | 10.0.2.3 → 10.0.2.15 | UDP | DNS
2025-06-25 14:55:58.395519 | 10.0.2.3 → 10.0.2.15 | UDP | DNS
2025-06-25 14:55:58.411541 | 10.0.2.15 → 142.250.115.102 | None | ICMP
2025-06-25 14:55:58.428191 | 142.250.115.102 → 10.0.2.15 | None | ICMP
2025-06-25 14:55:58.428336 | 10.0.2.15 → 10.0.2.3 | UDP | DNS
2025-06-25 14:55:58.445048 | 10.0.2.3 → 10.0.2.15 | UDP | DNS
2025-06-25 14:55:59.412023 | 10.0.2.15 → 142.250.115.102 | None | ICMP
2025-06-25 14:55:59.429189 | 142.250.115.102 → 10.0.2.15 | None | ICMP
2025-06-25 14:56:00.411715 | 10.0.2.15 → 142.250.115.102 | None | ICMP
2025-06-25 14:56:00.429441 | 142.250.115.102 → 10.0.2.15 | None | ICMP
2025-06-25 14:56:01.412930 | 10.0.2.15 → 142.250.115.102 | None | ICMP
2025-06-25 14:56:01.433220 | 142.250.115.102 → 10.0.2.15 | None | ICMP
2025-06-25 14:56:02.413806 | 10.0.2.15 → 142.250.115.102 | None | ICMP
2025-06-25 14:56:02.430658 | 142.250.115.102 → 10.0.2.15 | None | ICMP
2025-06-25 14:57:34.279869 | 10.0.2.15 → 10.0.2.3 | UDP | DNS
2025-06-25 14:57:34.279936 | 10.0.2.15 → 10.0.2.3 | UDP | DNS
2025-06-25 14:57:34.300728 | 10.0.2.3 → 10.0.2.15 | UDP | DNS
2025-06-25 14:57:34.300729 | 10.0.2.3 → 10.0.2.15 | UDP | DNS
2025-06-25 14:57:34.313981 | 10.0.2.15 → 142.250.115.101 | None | ICMP
2025-06-25 14:57:34.332968 | 142.250.115.101 → 10.0.2.15 | None | ICMP
2025-06-25 14:57:34.333182 | 10.0.2.15 → 10.0.2.3 | UDP | DNS
2025-06-25 14:57:34.350243 | 10.0.2.3 → 10.0.2.15 | UDP | DNS
2025-06-25 14:57:35.316027 | 10.0.2.15 → 142.250.115.101 | None | ICMP
2025-06-25 14:57:35.336165 | 142.250.115.101 → 10.0.2.15 | None | ICMP
2025-06-25 14:57:36.317124 | 10.0.2.15 → 142.250.115.101 | None | ICMP
2025-06-25 14:57:36.335154 | 142.250.115.101 → 10.0.2.15 | None | ICMP
2025-06-25 14:57:37.317737 | 10.0.2.15 → 142.250.115.101 | None | ICMP
2025-06-25 14:57:37.336704 | 142.250.115.101 → 10.0.2.15 | None | ICMP
2025-06-25 14:57:38.318890 | 10.0.2.15 → 142.250.115.101 | None | ICMP
2025-06-25 14:57:38.336715 | 142.250.115.101 → 10.0.2.15 | None | ICMP
2025-06-25 14:57:39.320687 | 10.0.2.15 → 142.250.115.101 | None | ICMP
2025-06-25 14:57:39.338532 | 142.250.115.101 → 10.0.2.15 | None | ICMP
2025-06-25 14:57:40.322675 | 10.0.2.15 → 142.250.115.101 | None | ICMP
