2025-06-25 15:16:44.951465 | 10.0.2.15 → 10.0.2.3 | UDP | DNS
2025-06-25 15:16:44.951489 | 10.0.2.15 → 10.0.2.3 | UDP | DNS
2025-06-25 15:16:44.973848 | 10.0.2.3 → 10.0.2.15 | UDP | DNS
2025-06-25 15:16:44.973848 | 10.0.2.3 → 10.0.2.15 | UDP | DNS
2025-06-25 15:16:44.975073 | 10.0.2.15 → 142.250.115.138 | None | ICMP
2025-06-25 15:16:44.992231 | 142.250.115.138 → 10.0.2.15 | None | ICMP
2025-06-25 15:16:44.992514 | 10.0.2.15 → 10.0.2.3 | UDP | DNS
2025-06-25 15:16:45.008528 | 10.0.2.3 → 10.0.2.15 | UDP | DNS
2025-06-25 15:16:45.976471 | 10.0.2.15 → 142.250.115.138 | None | ICMP
2025-06-25 15:16:45.992139 | 142.250.115.138 → 10.0.2.15 | None | ICMP
2025-06-25 15:16:46.977370 | 10.0.2.15 → 142.250.115.138 | None | ICMP
2025-06-25 15:16:46.995373 | 142.250.115.138 → 10.0.2.15 | None | ICMP
2025-06-25 15:16:47.978801 | 10.0.2.15 → 142.250.115.138 | None | ICMP
2025-06-25 15:16:47.995836 | 142.250.115.138 → 10.0.2.15 | None | ICMP
2025-06-25 15:16:48.979324 | 10.0.2.15 → 142.250.115.138 | None | ICMP
2025-06-25 15:16:48.996838 | 142.250.115.138 → 10.0.2.15 | None | ICMP
2025-06-25 15:16:49.981479 | 10.0.2.15 → 142.250.115.138 | None | ICMP
2025-06-25 15:16:49.998125 | 142.250.115.138 → 10.0.2.15 | None | ICMP
2025-06-25 15:16:50.983114 | 10.0.2.15 → 142.250.115.138 | None | ICMP
2025-06-25 15:16:51.196783 | 142.250.115.138 → 10.0.2.15 | None | ICMP
2025-06-25 15:16:51.984925 | 10.0.2.15 → 142.250.115.138 | None | ICMP
2025-06-25 15:16:52.001603 | 142.250.115.138 → 10.0.2.15 | None | ICMP
2025-06-25 15:16:52.986913 | 10.0.2.15 → 142.250.115.138 | None | ICMP
2025-06-25 15:16:53.003376 | 142.250.115.138 → 10.0.2.15 | None | ICMP
2025-06-25 15:16:53.988765 | 10.0.2.15 → 142.250.115.138 | None | ICMP
2025-06-25 15:16:54.006094 | 142.250.115.138 → 10.0.2.15 | None | ICMP
2025-06-25 15:16:54.990675 | 10.0.2.15 → 142.250.115.138 | None | ICMP
2025-06-25 15:16:55.009266 | 142.250.115.138 → 10.0.2.15 | None | ICMP
2025-06-25 15:16:55.991802 | 10.0.2.15 → 142.250.115.138 | None | ICMP
2025-06-25 15:16:56.011221 | 142.250.115.138 → 10.0.2.15 | None | ICMP
2025-06-25 15:16:56.993664 | 10.0.2.15 → 142.250.115.138 | None | ICMP
2025-06-25 15:16:57.011426 | 142.250.115.138 → 10.0.2.15 | None | ICMP
2025-06-25 15:16:57.996103 | 10.0.2.15 → 142.250.115.138 | None | ICMP
2025-06-25 15:16:58.011900 | 142.250.115.138 → 10.0.2.15 | None | ICMP
2025-06-25 15:16:58.997763 | 10.0.2.15 → 142.250.115.138 | None | ICMP
2025-06-25 15:16:59.014686 | 142.250.115.138 → 10.0.2.15 | None | ICMP
2025-06-25 15:16:59.998308 | 10.0.2.15 → 142.250.115.138 | None | ICMP
2025-06-25 15:17:00.017571 | 142.250.115.138 → 10.0.2.15 | None | ICMP
2025-06-25 15:17:01.000054 | 10.0.2.15 → 142.250.115.138 | None | ICMP
2025-06-25 15:17:01.020370 | 142.250.115.138 → 10.0.2.15 | None | ICMP
2025-06-25 15:17:02.002269 | 10.0.2.15 → 142.250.115.138 | None | ICMP
2025-06-25 15:17:02.021039 | 142.250.115.138 → 10.0.2.15 | None | ICMP
2025-06-25 15:17:03.003943 | 10.0.2.15 → 142.250.115.138 | None | ICMP
2025-06-25 15:17:03.021041 | 142.250.115.138 → 10.0.2.15 | None | ICMP
2025-06-25 15:17:04.005944 | 10.0.2.15 → 142.250.115.138 | None | ICMP
2025-06-25 15:17:04.023852 | 142.250.115.138 → 10.0.2.15 | None | ICMP
